InChIKey,Chemical Name,PubChem CID
DNWUYCUUEGGVPR-CLTKARDFSA-N,"(Z)-9,12,13-trihydroxy-15-octadecenoic acid",24066906
HNICUWMFWZBIFP-KDFHGORWSA-N,"(9E,11E)-13-hydroxyoctadeca-9,11-dienoic acid",5282948
YGJTUEISKATQSM-UHFFFAOYSA-N,"15-Oxoicosa-5,8,11,13-tetraenoic acid",1443
IFRKCNPQVIJFAQ-UHFFFAOYSA-N,"4-Hydroxydocosa-5,7,10,13,16,19-hexaenoic acid",53394255
BKAJNAXTPSGJCU-UHFFFAOYSA-N,4-Methyl-2-oxopentanoic acid,70
KGIJOOYOSFUGPC-UHFFFAOYSA-N,5-Hete,1771
NNPWRKSGORGTIM-HCCKYKKOSA-N,"8S,15S-dihydroxy-5Z,9E,11Z,13E-eicosatetraenoic acid",5283183
YDSCLGYBUIDZNF-UHFFFAOYSA-N,1-Hexadecyl-2-arachidonoylthio-2-deoxyglycero-3-phosphorylcholine,53394300
FUJLYHJROOYKRA-QGZVFWFLSA-N,(3R)-3-(1-oxododecoxy)-4-(trimethylammonio)butanoate,168381
MDDWQHVKSHTZTD-UHFFFAOYSA-N,C15 Carnitine,123132011
XOMRRQXKHMYMOC-OAQYLSRUSA-N,"3-carboxy-N,N,N-trimethyl-2-[(1-oxohexadecyl)oxy]-1-Propanaminium",11953816
JFAGPSOZZSTLRF-UHFFFAOYSA-N,3-(1-oxohexadec-9-enoxy)-4-(trimethylammonio)butanoate,78076330
DWSFAVOTORHAAL-UHFFFAOYSA-N,Heptadecanoyl carnitine,53477803
HZMKCRJXXVHZKT-UHFFFAOYSA-N,,
FNPHNLNTJNMAEE-HSZRJFAPSA-N,Stearoylcarnitine,52922056
HITOYGLMAFIRNI-YSESTWPTSA-N,(4S)-4-[(11E)-octadec-11-enoyloxy]-4-(trimethylazaniumyl)butanoate,53477830
MJLXQSQYKZWZCB-DQFWFXSYSA-N,O-linoleyl-L-carnitine,6450015
PVOQPLSKYNZHOT-SEYXRHQNSA-N,(11Z)-eicoseneoylcarnitine,71464507
OLZWDVKTOGTVLC-UHFFFAOYSA-N,,
VPEBWBVNBKLXSR-UHFFFAOYSA-N,,
USUPQTJPNBGUSJ-UHFFFAOYSA-N,,
MJPIXACTUMSGGI-UHFFFAOYSA-N,,
WLLMYDQRCSWAST-UHFFFAOYSA-N,,
ZWAUSWHRQBSECP-UHFFFAOYSA-N,"N-(1,3-dihydroxyoctadecan-2-yl)eicosanamide",5239143
RYZWCKUTHDRXFD-UHFFFAOYSA-N,,
RWONAHGWHDKVBG-UHFFFAOYSA-N,"N-(1,3-dihydroxydocosan-2-yl)hexacosanamide",132994873
NCKNBDIYAHEWMH-UHFFFAOYSA-N,"N-(1,3-dihydroxytetradec-4-en-2-yl)octadecanamide",73814455
DLTXHYMYPKOZOA-UHFFFAOYSA-N,"N-(1,3-dihydroxytetradec-4-en-2-yl)icosanamide",85396172
GNLMEYWBBYJRAK-UHFFFAOYSA-N,,
MUFDRQVIUBTJRW-UHFFFAOYSA-N,,
KPCAYUOVDNIJGR-UHFFFAOYSA-N,,
NSBGFVGWFKORGC-UHFFFAOYSA-N,,
HXQCQMPSJSSRPW-UHFFFAOYSA-N,,
METNUMDFDOKGMW-UHFFFAOYSA-N,,
GXTRSPPHWHQFMZ-NPNMLZSOSA-N,"(13Z,16Z,19Z,22Z,25Z,28Z,31Z,34Z,37Z)-N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]tetraconta-13,16,19,22,25,28,31,34,37-nonaenamide",164267617
MVOBRROQXQEAKP-UHFFFAOYSA-N,,
BCSGFNUBPYCZEJ-UHFFFAOYSA-N,,
ZKRPGPZHULJLKJ-JHRQRACZSA-N,N-(Tetradecanoyl)-sphing-4-enine,5282310
QBFXCLDNTKBAPQ-STSAHMJASA-N,N-(heptadecanoyl)-hexdecasphing-4-enine,52931112
GCGTXOVNNFGTPQ-JHOUSYSJSA-N,N-(hexadecanoyl)-sphinganine,5283572
YDNKGFDKKRUKPY-TURZORIXSA-N,N-Palmitoylsphingosine,5283564
XXWRZIYYFPIQHE-UHFFFAOYSA-N,"N-(1,3-dihydroxyoctadeca-4,14-dien-2-yl)hexadecanamide",75963948
KGEXFGDEDXQZLQ-QKSCFGQVSA-N,"N-[(E,2S,3R)-1,3-dihydroxyheptadec-4-en-2-yl]octadecanamide",9985066
MJQIARGPQMNBGT-WWUCIAQXSA-N,N-(9Z-octadecenoyl)-sphinganine,6442676
WNPWDGNHTKGEDS-UHFFFAOYSA-N,"N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)octadecanamide",25201955
CZKJGFHQZINDHS-RQDJVNCUSA-N,N-(eicosanoyl)-4E-heptadecasphingenine,134725797
XWBWIAOWSABHFI-NUKVNZTCSA-N,N-icosanoylsphingosine,5283566
NBSDZPNNDCXPFZ-UHFFFAOYSA-N,"N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)icosanamide",132994556
WYSRACVJQVNCRW-PQPBPFPMSA-N,N-(tricosanoyl)-hexadecasphing-4-enine,11273482
ZYPUFXIUMBJDCM-VNFREKOVSA-N,"(Z)-N-[(E)-1,3-dihydroxypentadec-4-en-2-yl]tetracos-11-enamide",138318579
KEPQASGDXIEOIL-GLQCRSEXSA-N,N-docosanoylsphingosine,5283567
HILTUFAERVOALR-MQXYEJFFSA-N,"N-(docosanoyl)-4E,14Z-sphingadienine",52931123
NAJHAHQNQCNWOP-PUYNVXOJSA-N,N-(tricosanoyl)-sphing-4-enine,52931115
KZTBXGOBTULOIO-SZHIUZGGSA-N,"(Z)-N-[(E)-1,3-dihydroxyheptadec-4-en-2-yl]tetracos-11-enamide",138199486
VJSBNBBOSZJDKB-KPEYJIHVSA-N,"(Z)-N-[(E,2S,3R)-1,3-dihydroxyoctadec-4-en-2-yl]-15-tetracosenamide",5283568
KADBCXSPXAVXJL-UHFFFAOYSA-N,"N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)tetracos-11-enamide",163141710
CZDSGZAXVMEXFM-NJLCVJHMSA-N,N-(octacosanoyl)-4E-eicosasphingenine,145714838
KZTJQXAANJHSCE-UHFFFAOYSA-N,"N-(1,3-dihydroxyoctadecan-2-yl)octadecanamide",4255985
HVYWMOMLDIMFJA-DPAQBDIFSA-N,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",5997
WREKGBNQYOBKKO-UHFFFAOYSA-N,,
ACTIUHUUMQJHFO-UHFFFAOYSA-N,Ubisemiquinone,1156
YEJYLHKQOBOSCP-OZKTZCCCSA-N,1-Palmitoyl-2-oleoyl-sn-glycerol,5282283
PGXBELQFNRPKBC-WBVIKXMWSA-N,"DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)",9543737
GRGDLDNREYVILP-CNWVQWJYSA-N,"DG(18:3(9Z,12Z,15Z)/20:2(11Z,14Z)/0:0)",9543784
YDVDXUYJFQLPEG-CTHJWPIASA-N,"DG(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z)/0:0)",9543795
NUGBPQVTGLIHPK-UHFFFAOYSA-N,,
SWAUCSBNGLZTAO-UHFFFAOYSA-N,,
FMBLKZCAGUEWQW-UHFFFAOYSA-N,,
LNHJAGNJTQKBEC-UHFFFAOYSA-N,,
ALADTLXJFODIQX-UHFFFAOYSA-N,,
GPQKHIJZOQBYHF-UHFFFAOYSA-N,,
GVCJAFRWLSOWEX-UHFFFAOYSA-N,,
FNGPVMXXYRLRFP-UHFFFAOYSA-N,,
FSKMPLGIRIBOTQ-UHFFFAOYSA-N,,
PIKATRARSGJDNU-UHFFFAOYSA-N,,
QSBYPNXLFMSGKH-UHFFFAOYSA-N,9-heptadecenoic acid,3014063
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,Emersol 220 White Oleate,445639
XEBKSQSGNGRGDW-UHFFFAOYSA-N,"9,10-Dihydroxyoctadec-12-enoic acid",53394288
JBYXPOFIGCOSSB-XBLVEGMJSA-N,"9,11-Octadecadienoic acid",5282796
JGUNZIWGNMQSBM-UHFFFAOYSA-N,"9S-hydroperoxy-10E,12Z-octadecadienoic acid",1928
DTOSIQBPPRVQHS-PDBXOOCHSA-N,LINOLENIC ACID,5280934
YOKHLRHWEXTWJR-ZHACJKMWSA-N,9-Nonadecenoic acid,14275215
BITHHVVYSMSWAG-UHFFFAOYSA-N,(EZ)-Icosenoic acid,142770
XSXIVVZCUAHUJO-HZJYTTRNSA-N,Eicosadienoic acid,6439848
AHANXAKGNAKFSK-PDBXOOCHSA-N,"11,14,17-Eicosatrienoic acid",5312529
YZXBAPSDXZZRGB-DOFZRALJSA-N,Arachidonate,444899
JAZBEHYOTPTENJ-JLNKQSITSA-N,Icosapent (INN),446284
DPUOLQHDNGRHBS-KTKRTIGZSA-N,Erucic Acid,5281116
HVGRZDASOHMCSK-AVQMFFATSA-N,"13,16-Docosadienoic acid",5282807
TWSWSIQAPQLDBP-DOFZRALJSA-N,"(7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid",5497181
MBMBGCFOFBJSGT-KUBAVDMBSA-N,HXA,445580
MSUOLNSQHLHDAS-UHFFFAOYSA-N,2-Hydroxytetracosanoic acid,102430
MWMPEAHGUXCSMY-UHFFFAOYSA-N,pentacosanoic acid,10468
VHOCUJPBKOZGJD-UHFFFAOYSA-N,Triacontanoic acid,10471
OBPRTZBYYWWRGJ-UHFFFAOYSA-N,2-Tetracosanoyloxyacetic acid,88765616
UWSSQGYIAHOMJM-OMCRSCLLSA-N,Fahfa 18:1/20:3,138276051
BCZDKPKCPSQECA-UHFFFAOYSA-N,Fahfa 25:0/21:0,138125105
HLIJNIKSBCIDGO-QKLMXXKVSA-N,LacCer(d18:1/16:0),53477895
UTZWWDIWEOVCQN-JTBMWNAQSA-N,"6-[2-heptadecanoyloxy-3-[(11Z,14Z,17Z)-icosa-11,14,17-trienoyl]oxypropoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",138275198
DFELABABMXOKTD-IYFIADHGSA-N,beta-D-glucosyl-N-eicosanoylsphingosine,20057356
YIGARKIIFOHVPF-YAEABVQUSA-N,C22 GlcCer,6321359
POQRWMRXUOPCLD-AAAFHMTMSA-N,Glucosylceramide,6321361
WBOZIXHPUPAOIA-RBELZSLISA-N,N-(15Z-tetracosenoyl)-1-beta-glucosyl-sphing-4-enine,6321360
SCBSLJVBXYHZPZ-UHFFFAOYSA-N,HexCer 18:0;2O/14:0,22178811
TXZJEQCYQGSYTF-UHFFFAOYSA-N,,
UVSSASZCRROTPQ-UHFFFAOYSA-N,,
PQZRGXKFSZNTBH-UHFFFAOYSA-N,,
FPYGWXZZOOQXRD-UHFFFAOYSA-N,,
YNMNMCDGYLHQRD-UHFFFAOYSA-N,,
QLNURYCOAWSXLQ-UHFFFAOYSA-N,,
FPTSLKCBYZXNAK-UHFFFAOYSA-N,,
LMJRVTNHOFDJIG-UHFFFAOYSA-N,,
YGNHTBSNYNKPPR-QXHWDXSJSA-N,Lnape 20:4/N-19:1,165327881
ASWBNKHCZGQVJV-HSZRJFAPSA-N,1-16:0-2-lysophosphatidylcholine,460602
LFUDDCMNKWEORN-UHFFFAOYSA-N,,
IHNKQIMGVNPMTC-RUZDIDTESA-N,1-18:0-lysoPC,497299
YAMUFBLWGFFICM-PTGWMXDISA-N,1-18:1-lysophosphatidylcholine,16081932
SPJFYYJXNPEZDW-FTJOPAKQSA-N,"1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine",11005824
UATOAILWGVYRQS-UHFFFAOYSA-N,[2-hydroxy-3-(1-oxoeicosoxy)propyl] 2-(trimethylammonio)ethyl phosphate,24779474
GJTDRNFWIDPARY-GTPZACKGSA-N,1-(9Z-eicosenoyl)-sn-glycero-3-phosphocholine,24779475
YYQVCMMXPIJVHY-ZOIJLGJPSA-N,Lysophosphatidylcholine(20:2),52924053
GOMVPVRDBLLHQC-UHFFFAOYSA-N,,
PDIGSOAOQOXRDU-WJPZTBRDSA-N,"LysoPC(20:5(5Z,8Z,11Z,14Z,17Z))",11757087
LSOWKZULVQWMLY-APPDJCNMSA-N,LPC(22:6/0:0),10415542
ZJIXPFHQCRWXJV-PFONDFGASA-N,Lpc 32:1-SN1,164502065
YSTGSPYMRHRHHQ-QAYSHOGESA-N,Lpc 40:7-SN1,164493524
VLBPIWYTPAXCFJ-UHFFFAOYSA-N,1-O-Hexadecyl-lyso-sn-glycero-3-phosphocholine,3983
XKBJVQHMEXMFDZ-UHFFFAOYSA-N,Lyso-PAF c-18,3985
CKPBBEOJHAPPBT-HXUWFJFHSA-N,LysoPE(0:0/16:0),53480922
BBYWOYAFBUOUFP-UHFFFAOYNA-N,LPE 18:0,477551911
PYVRVRFVLRNJLY-KTKRTIGZNA-N,LPE 18:1,477882298
DBHKHNGBVGWQJE-USWSLJGRSA-N,"1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoethanolamine",52925130
JPNPIRVRGLGTRE-YSKCIPFOSA-N,"LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)",53480952
KCWGBXXAJHVZNN-UHFFFAOYSA-N,"[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] icosa-5,8,11,14,17-pentaenoate",75958074
XEVRBOQZSXWGQO-PAUXXPOVSA-N,Lyso-PE(22:6w3/0:0),52925132
CDONWGCJDDHTLP-KTKRTIGZNA-N,LPE O-18:1,477577455
DBVHWKABURKXNY-UHFFFAOYSA-N,,
PKPGKYPSMJMPGS-UHFFFAOYNA-N,LPE O-20:0,477869257
MDKQSWPYVYXVKC-UHFFFAOYSA-N,,
ZPDQFUYPBVXUKS-UHFFFAOYNA-N,LPS 18:0,478094547
GIEIKQLTPYMKIQ-LPNQNMOLSA-N,"[(2S)-1-hexadecanoyloxy-3-[(2R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] (5E,8E,11E,14E,17E)-icosa-5,8,11,14,17-pentaenoate",134732480
NAUNPPRXNUXMCK-UHFFFAOYSA-N,"[1-Hexadecanoyloxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] octadeca-9,12,15-trienoate",74382274
XWBWIAOWSABHFI-UHFFFAOYSA-N,"N-(1,3-dihydroxyoctadec-4-en-2-yl)icosanamide",4307993
ZWHVMTQUUANYQJ-UHFFFAOYSA-N,N-(2-Hydroxyethyl)butyramide,252506
NURPOXDFZKXLRW-UHFFFAOYSA-N,N-(2-hydroxyethyl)pentanamide,13245640
QWJKOSGGYVUJBP-UHFFFAOYSA-N,N-(2-hydroxyethyl)nonanamide,14455154
XGGMHQYOVYWRLV-IZNHTBNISA-N,1-tetradecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,24778615
PPTNNIINSOQWCE-WJOKGBTCSA-N,1-Palmitoyl-2-(9-oxo-nonanoyl)-sn-glycero-3-phosphocholine,46907874
UIXXHROAQSBBOV-UHFFFAOYSA-N,(3-Hexadecanoyloxy-2-tetradecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,10190333
JLPULHDHAOZNQI-UHFFFAOYSA-N,"[3-(1-oxohexadecoxy)-2-(1-oxooctadeca-9,12-dienoxy)propyl] 2-(trimethylammonio)ethyl phosphate",122218
IESVDEZGAHUQJU-UHFFFAOYSA-N,"(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-hexadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate",74063529
ZNSRWHZSOOOECB-IHLJWWGMSA-N,"PC(16:1(9Z)/18:4(6Z,9Z,12Z,15Z))",24778769
ATHVAWFAEPLPPQ-UHFFFAOYSA-N,(3-Octadecanoyloxy-2-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,3033933
FAUYAENFVCNTAL-UHFFFAOYSA-N,"(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate",133026175
QKKKBFSONQRFRO-UHFFFAOYSA-N,,
HRBNRYBXXRPMKP-OMCHRGCMSA-N,"[2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",24778981
ZHAHTCLACAJNQI-SEYXRHQNSA-N,[3-acetyloxy-2-[(Z)-heptadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,138312775
AEUCYCQYAUFAKH-DITNKEBASA-N,"1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine",24779063
XOZKRFBVCYMGKM-GKFVBPDJSA-N,"[2-[(6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoyl]oxy-3-propanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",138298680
GFFACUDRMCKGID-ZKWNWVNESA-N,"[3-acetyloxy-2-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",138159393
IJFVSSZAOYLHEE-UHFFFAOYSA-N,Dilaurylphosphatidylcholine,65262
BQAGEKPOHNCEPX-UHFFFAOYSA-N,(3-Decanoyloxy-2-tetradecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,24778525
VBWSYJOSSOZQOH-UHFFFAOYSA-N,(3-Decanoyloxy-2-hexadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,138277677
JCBOOWOAEHBYJL-UHFFFAOYSA-N,,
CITGLCJVPOWHKC-UUWRZZSWSA-N,,
ZLWBMGNHUKXHDG-UHFFFAOYSA-N,,
GWWAIYISJPUKIW-UHFFFAOYSA-N,(3-Acetyloxy-2-heptacosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,138165033
LLHISNQVRRYJGL-UHFFFAOYSA-N,(2-Hexadecanoyloxy-3-pentadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,14818904
QFVHCMLUKNHDSH-UHFFFAOYSA-N,,
QFVHCMLUKNHDSH-WTWBAFHPSA-N,1-pentadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,24778657
KILNVBDSWZSGLL-KXQOOQHDSA-N,Colfosceril Palmitate,452110
QIBZFHLFHCIUOT-NPBIGWJUSA-N,1-Palmitoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine,6443788
QIBZFHLFHCIUOT-ZPHPHTNESA-N,1-Palmitoyl-2-palmitoleoylphosphatidylcholine,6443090
GPWHCUUIQMGELX-VHQDNGOZSA-N,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine",24778764
QZMGRDCRMQJRBR-UHFFFAOYSA-N,,
FHENRYRLCPXONH-LDLOPFEMSA-N,1-Octadecanoyl-2-pentadecanoyl-glycero-3-phosphocholine,52922645
OFRWLQSOUIZELQ-VEAYGOGPSA-N,1-(9Z-hexadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine,52922442
GXTATYLPYLLNLV-MGIDVFSBSA-N,1-pentadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine,24778662
SBNDHGBVMZMSNL-UESLNCBNSA-N,"1-(9Z,12Z-octadecadienoyl)-2-pentadecanoyl-glycero-3-phosphocholine",52922715
LINQPZCEZRTEOY-UHFFFAOYSA-N,,
VZVZQQCSQMEVAN-UHFFFAOYSA-N,,
RNLAHSGFLLQJSH-UHFFFAOYSA-N,,
PZNPLUBHRSSFHT-RRHRGVEJSA-N,1-Hexadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine,24778686
WTJKGGKOPKCXLL-VYOBOKEXSA-N,1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,5497103
WTJKGGKOPKCXLL-MRCUWXFGSA-N,1-Palmitoyl-2-oleoylphosphatidylcholine,6436017
JLPULHDHAOZNQI-ZTIMHPMXSA-N,Lecithin,5287971
CNNSEHUKQJCGTE-UPPWDXJYSA-N,"PC(16:0/18:3(6Z,9Z,12Z))",24778699
VKVSSDKCKXJFIM-AFYHZPHLSA-N,"PC(20:3(8Z,11Z,14Z)/14:0)",52923213
YWDDIWXKFJEMKF-JTZVLWBESA-N,"PC(18:4(6Z,9Z,12Z,15Z)/16:0)",52922891
ZPUCIFKHJMJFJR-UHFFFAOYSA-N,,
WCNDCUHEAPXSRE-UHFFFAOYSA-N,,
MFHIZGSSDZJFKD-IYEJTHTFSA-N,1-(9Z-octadecenoyl)-2-heptadecanoyl-glycero-3-phosphocholine,52922679
QHSSPICKLMYIHE-UHFFFAOYSA-N,,
ZSKWZJYUVZYDQU-WESJWMGVSA-N,"1-heptadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine",52922491
MJWAVUYQCBFFHQ-WESJWMGVSA-N,"1-(9Z,12Z-octadecadienoyl)-2-heptadecanoyl-glycero-3-phosphocholine",52922721
CCWBLPGHMXYSEO-UHFFFAOYSA-N,,
AYXGHIQPMDYMJC-AHMBLZLYSA-N,"PE(20:3(8Z,11Z,14Z)/18:0)",52924614
OROZWUJCDDCYAU-IPUAOQJZSA-N,"1-tridecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-glycero-3-phosphocholine",52922204
LYNZMLHNPYEREG-ZHMZGHMTSA-N,"1-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-2-heptadecanoyl-glycero-3-phosphocholine",52922895
VMVWXMVXFZDVRX-UHFFFAOYSA-N,,
VYAMSJNJNPMAKM-UHFFFAOYSA-N,,
ATHVAWFAEPLPPQ-VRDBWYNSSA-N,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine,24778825
ANCOIGUVGMVZMF-UHFFFAOYSA-N,,
SNKAWJBJQDLSFF-NVKMUCNASA-N,PC(18:1/18:1),10350317
BXRLDROZWDUSGM-ZRYFCQOPSA-N,"PC(18:1(9Z)/18:2(6Z,9Z))",24778937
YPAZQMWFRMHBBM-CLKMJQEKSA-N,"PC(18:2(9Z,12Z)/18:1(11Z))",53478785
NKQPOVROGSWLTO-NVPMBMBWSA-N,"PC(18:3(6Z,9Z,12Z)/18:1(9Z))",52922783
IIZPXYDJLKNOIY-JXPKJXOSSA-N,Phosphatidylcholine(16:0/20:4w6),10747814
SUZYROYNFNQALJ-MHEIZRSESA-N,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",52923341
DYDDZDMJSQYFGN-OIVUZXIWSA-N,"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",24778771
