InChIKey,Chemical Name,PubChem CID
WVGALBKSWOUIEZ-ULUZTLKMSA-N,Phosphatidylethanolamine alkenyl 16:0-22:6,134777290
CEVVUBCHWNKKNN-VDLQPGGRSA-N,1-octadecyl-2-(9Z-octadecenoyl)-glycero-3-phosphoethanolamine,52924982
CQHMZFNQRVSRPW-HLMRNWPHSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-octadecoxypropan-2-yl] (9Z,12Z,15Z)-octadeca-9,12,15-trienoate",138137779
MXSLQGMWLWDDHB-YVCOGYDTSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-tetradecoxypropan-2-yl] (13Z,16Z)-tetracosa-13,16-dienoate",138215641
UZKXXUJVNWVEAA-GWWWPDGYSA-N,Phosphatidylethanolamine alkenyl 18:0-20:5,134772254
QIQGIECOBDSDSX-IVGDTRDPSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoxy]propan-2-yl] (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoate",138244210
GZMXKUALKXYCMM-XSEHFSNESA-N,Phosphatidylethanolamine alkenyl 18:0-22:4,134734287
NKXPONDLZHZZND-PKBJNFAXSA-N,"[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoxy]propan-2-yl] (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",138219791
ZOSSFCIAXYNTHL-CSTBBDSDSA-N,1-(1-Enyl-oleoyl)-2-palmitoyl-sn-glycero-3-phosphoethanolamine,53480893
OBAAWAYLQLYWNN-KHFVPPDWSA-N,1-(1-Enyl-oleoyl)-2-stearoyl-sn-glycero-3-phosphoethanolamine,53480895
ADWDFBQPQIEGRZ-XBICFDGKSA-N,"PE(P-18:1(11Z)/18:3(6Z,9Z,12Z))",53480870
RLLOITCRNQRGJD-DFAKUSJGSA-N,"PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))",52925061
IGBDUBDKFYMFHJ-UHFFFAOYSA-N,,
KQDZBNVXKAEDAT-UHFFFAOYSA-N,,
ZTZQZGHJLWFLFQ-VZBWJDOASA-N,"PE(P-18:0/20:4(8Z,11Z,14Z,17Z))",53480855
URPXXNCTXCOATD-FXMFQVEGSA-N,"[R-(all-Z)]-5,8,11,14-Eicosatetraenoic acid",86289532
IQSPCSIULMCRPM-ZAJUHDLGSA-N,"PE(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))",53479831
IYADYBNFZSWUNC-UHFFFAOYSA-N,,
HHQFKPJXVYWLLJ-ABYSKWQHSA-N,"PE(P-18:0/22:5(4Z,7Z,10Z,13Z,16Z))",53480857
WVSSIRPRBPEKCQ-UHFFFAOYSA-N,,
FIJFPUAJUDAZEY-UHFFFAOYSA-N,"[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadec-1-enoxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate",74819122
MLHVKKWOXVSPDG-VLGSPTGOSA-N,PEtOH 16:0_16:1,138211560
JCABVIFDXFFRMT-VXPUYCOJSA-N,PEtOH 16:0_18:1,56640029
QTIJJMLOUMWMQQ-BUPHOURSSA-N,PEtOH 16:0_20:4,138247565
BHQKOVPFLAAQTH-IQRFGFHNSA-N,PEtOH 16:1_16:1,138126591
SQEHUBDFCCVGCJ-FRKBGCJLSA-N,PEtOH 16:1_18:1,138263544
JSNRLDUOKDFFEU-WRBBJXAJSA-N,PEtOH 18:1_18:1,10283746
GPUYXMCSIACMOK-YBDJVEANSA-N,PEtOH 18:1_20:4,138162825
KDFIYBDWNQKADP-UHFFFAOYSA-N,"[1-[2,3-Dihydroxypropoxy(hydroxy)phosphoryl]oxy-3-hexadecanoyloxypropan-2-yl] icosa-11,14-dienoate",75959369
BRJYLBKRWAAAEC-UHFFFAOYSA-N,"[1-[2,3-Dihydroxypropoxy(hydroxy)phosphoryl]oxy-3-hexadec-9-enoyloxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate",75960065
XACKZSRNTPEYBU-GZSOIYOPSA-N,Phosphatidylglyceride 22:6-22:6,134777753
QDRJMAHGAQYRIN-PKKQLAOCSA-N,Phosphatidylethanolamine alkenyl 16:0-20:4,134760384
QBAQUPWJTLVJBD-CZAAGYDRSA-N,Phosphatidylethanolamine alkenyl 18:0-18:2,134760121
RZFIPFIGUWXYNB-UHFFFAOYSA-N,"[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-11,14-dienoate",75961260
KRTOMQDUKGRFDJ-UHFFFAOYSA-N,"[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-5,8,11,14-tetraenoate",72280035
OOSPMTMUZPWTKZ-DCMOKHIZSA-N,"[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (10Z,13Z,16Z,19Z)-docosa-10,13,16,19-tetraenoate",138229402
QHPDGSFYNQHVMI-UHFFFAOYSA-N,"[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadec-9-enoyloxypropan-2-yl] docosa-4,7,10,13,16,19-hexaenoate",75960351
RNXWIPLNUTUDRT-YHSIYXGOSA-N,,
PDLAMJKMOKWLAJ-AGORXRROSA-N,1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol),5771758
GIASXRZRWQSUOZ-QGLGPCELSA-N,"[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octanoyloxypropan-2-yl] (15Z,18Z)-hexacosa-15,18-dienoate",138160318
ZPUUVEHXYAPJAQ-KOHXHNRGSA-N,,
YOBFISPJJWPPTK-JUCSSFOXSA-N,,
KZVRAFHIKMDULK-PDPKURFXSA-N,,
UPMVFTFJRCVMKL-PVJQQWEWSA-N,,
MXJMOLQIXMJUEL-UHFFFAOYSA-N,"[3-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-2-octadeca-9,12-dienoyloxypropyl] octadec-9-enoate",74413360
WPXXYOUAQYYXER-BFRKKRKTSA-N,,
FQGSWQFJOVVRRB-UHFFFAOYSA-N,"[1-Hexadecanoyloxy-3-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate",75961205
RORLLARSMMOWBD-UHFFFAOYSA-N,,
VVADTISLHXZLIB-WNWAWKNRSA-N,,
KRTOMQDUKGRFDJ-MWZLTEOLSA-N,PI(38:4),42607491
SUYDNPBYMBTSMM-UHFFFAOYSA-N,"[1-[Hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate",75961187
FRECHIGMANZWMF-REJVNYKHSA-N,"[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-[(Z)-tetradec-9-enoyl]oxypropan-2-yl] (12Z,15Z,18Z,21Z)-tetracosa-12,15,18,21-tetraenoate",138154940
QSUYYEJLNWCMIO-SIZJMFNESA-N,,
VKRDRDRLFSZIGY-UHFFFAOYSA-N,,
MMIJVISGGKKHBW-UHFFFAOYSA-N,,
VAARQXKGNHCRDF-HNENSFHCSA-N,PMeOH 16:0_18:1,91844613
PXPCKHZLDQZOMG-DUZKARGPSA-N,PMeOH 16:0_18:2,138240731
GLAIFIDZABIAJR-KHDVSGDZSA-N,PMeOH 16:0_20:4,138161235
LENHBQCNGGGSJY-UHFFFAOYSA-N,,
BAGQGBPETWVHAA-BHYOAKPMSA-N,"2-amino-3-[[2-[(10Z,13Z,16Z,19Z)-docosa-10,13,16,19-tetraenoyl]oxy-3-hexadecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid",138124235
LYYHRRPTEXPVOR-UHFFFAOYSA-N,"2-Amino-3-[(2-docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadecanoyloxypropoxy)-hydroxyphosphoryl]oxypropanoic acid",75228707
BWQAJZLCZFRDSD-UHFFFAOYSA-N,2-Amino-3-[(2-hexadec-9-enoyloxy-3-octadecanoyloxypropoxy)-hydroxyphosphoryl]oxypropanoic acid,75958912
AJFWREUFUPEYII-UHFFFAOYSA-N,2-Amino-3-[hydroxy-(3-octadecanoyloxy-2-octadec-9-enoyloxypropoxy)phosphoryl]oxypropanoic acid,72367181
WTBFLCSPLLEDEM-UHFFFAOYSA-N,Phosphatidylserine (bovine),3451126
DERBZMCOPJTRSZ-UHFFFAOYSA-N,"2-Amino-3-[hydroxy-(2-icosa-5,8,11,14,17-pentaenoyloxy-3-octadecanoyloxypropoxy)phosphoryl]oxypropanoic acid",75958909
BSOVXNXEEAGSTJ-UHFFFAOYSA-N,,
PZEFRSYCROBXSJ-UHFFFAOYSA-N,"2-Amino-3-[(2-docosa-7,10,13,16,19-pentaenoyloxy-3-octadecanoyloxypropoxy)-hydroxyphosphoryl]oxypropanoic acid",76042794
GBRAOBUNRZNGLG-UHFFFAOYSA-N,,
XCWVCMIJMLUUFH-NOWNJZKOSA-N,"[(4E,8E)-3-hydroxy-2-(octanoylamino)nonacosa-4,8-dienyl] 2-(trimethylazaniumyl)ethyl phosphate",164472176
WVZYDPLIGWKWEU-UHFFFAOYSA-N,,
NZVSGOQOFUVMHA-QOSDPKFLSA-N,[(E)-2-(heptacosanoylamino)-3-hydroxyoct-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate,164360868
ZZVIPOLKRCCWFV-UHFFFAOYSA-N,,
QFCPIEOQTPOOTG-BIQXSSBLSA-N,"[(8E,12E,16E)-3,4-dihydroxy-2-[[(Z)-nonadec-9-enoyl]amino]octadeca-8,12,16-trienyl] 2-(trimethylazaniumyl)ethyl phosphate",164390119
XNBRFUCJENKXCT-UHFFFAOYSA-N,,
WHKXGRORCVQZGF-UHFFFAOYSA-N,,
NVRRDYIOAREJKE-SLOFWGFHSA-N,"[(8E,12E,16E)-3,4-dihydroxy-2-(tricosanoylamino)octadeca-8,12,16-trienyl] 2-(trimethylazaniumyl)ethyl phosphate",164358775
RHYSATSRWWXZCK-UHFFFAOYSA-N,,
JGIRWGSINKJOLC-UHFFFAOYSA-N,,
MKGAEKLQDPHZOP-UHFFFAOYSA-N,,
VZNHWRBHBFCCRZ-UHFFFAOYSA-N,,
HZCLJRFPXMKWHR-FEBLJDHQSA-N,N-(dodecanoyl)-sphing-4-enine-1-phosphocholine,44260123
FJYURYAFGRADQP-WSYRTZMQSA-N,N-(heptadecanoyl)-4E-tetradecasphingenine-1-phosphocholine,134729785
MJAFYELZQYPMQG-MPQUPPDSSA-N,C14DH Sphingomyelin,44260138
OMRILSIMTXCAPB-UHFFFAOYSA-N,[3-Hydroxy-2-(tridecanoylamino)nonadecyl] 2-(trimethylazaniumyl)ethyl phosphate,133040069
KYICBZWZQPCUMO-PSALXKTOSA-N,C14 Sphingomyelin,11433862
PEJGMBUENJSLLH-RHAKMSQVSA-N,"N-(tetradecanoyl)-4E,14Z-sphingadienine-1-phosphocholine",52931131
LQINJRUGTUOHGS-YPDYIYJKSA-N,N-(pentadecanoyl)-sphing-4-enine-1-phosphocholine,52931139
QHZIGNLCLJPLCU-QPPIDDCLSA-N,N-Palmitoyldihydrosphingomyelin,9939965
RWKUXQNLWDTSLO-GWQJGLRPSA-N,Palmitoyl sphingomyelin,9939941
YLWSJLLZUHSIEA-CKSUKHGVSA-N,"N-(hexadecanoyl)-4E,14Z-sphingadienine-1-phosphocholine",
LDJGVBCPOLCJJN-DQRAZIAOSA-N,[2-[[(Z)-henicos-9-enoyl]amino]-3-hydroxytetradecyl] 2-(trimethylazaniumyl)ethyl phosphate,138200616
HVVDGWWLGYBUAB-JYDNXXCZSA-N,[(E)-2-[[(Z)-henicos-9-enoyl]amino]-3-hydroxytetradec-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate,138173078
JCELSEVNSMXGKA-IOLBBIBUSA-N,N-(octadecanoyl)-sphinganine-1-phosphocholine,44260130
LKQLRGMMMAHREN-YJFXYUILSA-N,Sphingomyelin (D18:1/18:0),6453725
NBEADXWAAWCCDG-QDDWGVBQSA-N,N-(9Z-octadecenoyl)-sphing-4-enine-1-phosphocholine,6443882
SVZHNUJIDJZSFP-UHFFFAOYSA-N,,
GPOGSMIDYBSWAT-UDBQMCEJSA-N,"[(4E,8E,12E)-3-hydroxy-2-[[(Z)-tetradec-9-enoyl]amino]docosa-4,8,12-trienyl] 2-(trimethylazaniumyl)ethyl phosphate",138162742
HAFQHLHNPJDAGB-MAJDXUCPSA-N,N-(nonadecanoyl)-sphing-4-enine-1-phosphocholine,52931171
AADLTHQNYQJHQV-SVLGDMRNSA-N,C20 Sphingomyelin,44260124
MDRFMTLYKHBJTF-NQYLGBTJSA-N,N-(11Z-eicosenoyl)-sphing-4-enine-1-phosphocholine,52931179
SDUGEKJCGFHJRC-IYXZHQORSA-N,"N-(heneicosanoyl)-4E,14Z-sphingadienine-1-phosphocholine",52931187
VBFKEZGCUWHGSK-ADSSWVSQSA-N,N-(13Z-docosenoyl)-sphing-4-enine-1-phosphocholine,52931203
JBDGKEXQKCCQFK-JWQIMADESA-N,"N-(tricosanoyl)-4E,14Z-sphingadienine-1-phosphocholine",52931209
DACOGJMBYLZYDH-GXJPFUDISA-N,"N-(tetracosanoyl)-4E,14Z-sphingadienine-1-phosphocholine",52931217
XOAAWQZATWQOTB-UHFFFAOYSA-N,2-aminoethanesulfonic acid,1123
PGYNJJCWPCAGLG-BDUYNUQCSA-N,1-tetradecanoyl-2-hexadecanoyl-3-(9Z-heptadecenoyl)-sn-glycerol,56938013
YWKYRFUPKVVPAH-UHFFFAOYSA-N,(3-Hexadecanoyloxy-2-octadec-9-enoyloxypropyl) icosanoate,85034455
GLZHPWPMVDTTOB-HHDDAWPXSA-N,"[1-[(9Z,12Z)-hexadeca-9,12-dienoyl]oxy-3-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyl]oxypropan-2-yl] (9Z,12Z)-octadeca-9,12-dienoate",165216290
HFCKOGWQFCDRLW-UHFFFAOYSA-N,(3-Octadecanoyloxy-2-octadec-9-enoyloxypropyl) docosanoate,53874005
OWYSBHPRWHZONR-MOKVCOEPSA-N,"2,3-bis[[(9Z,12Z)-nonadeca-9,12-dienoyl]oxy]propyl (9Z,12Z)-nonadeca-9,12-dienoate",165271413
DUXYWXYOBMKGIN-UHFFFAOYSA-N,Trimyristin,11148
UXWDTZNNQVHGSG-UHFFFAOYSA-N,"1,3-Ditetradecanoyl-2-hexade-canoyl-glycerol",14169768
JWVXCFSNEOMSHH-UHFFFAOYSA-N,"1,2-Dipalmitoyl-3-myristoyl-rac-glycerol",4099879
RSDIQTNCDWUNDP-VHXPQNKSSA-N,"1,2-Dimyristoyl-3-oleoyl glycerol",11764207
XUEMVUXNOCIHLG-MOFPORNTSA-N,"1-tetradecanoyl-2,3-di-(9Z-hexadecenoyl)-sn-glycerol",56936582
PVNIQBQSYATKKL-UHFFFAOYSA-N,Tripalmitin,11147
FEKLSEFRUGWUOS-DLOIZKPKSA-N,"1,2-dihexadecanoyl-3-(9Z-hexadecenoyl)-sn-glycerol",9543986
RUOVJPPUXXFZPC-YZEIBMOJSA-N,TG(16:0/16:1(9Z)/16:1(9Z))[iso3],9543987
TTWJTJMWHOYBPQ-ANFMRNGASA-N,"1,2-Dihexadecanoyl-3-heptadecanoyl-sn-glycerol",9543988
GVAHTORNFUNLJZ-UHFFFAOYSA-N,,
UNLQNCABWOVYJJ-UHFFFAOYSA-N,,
MARPCPMDFOPPJX-UHFFFAOYSA-N,TG(18:0/14:0/18:0)[iso3],545588
YHMDGPZOSGBQRH-YYSBDVFPSA-N,"1,2-dihexadecanoyl-3-(9Z-octadecenoyl)-sn-glycerol",25240460
TWJCMQZMAPGUSG-UHFFFAOYSA-N,(3-Hexadecanoyloxy-2-hexadec-9-enoyloxypropyl) octadec-9-enoate,85034325
QEZWFCZNHWUARW-XQCAQTCHSA-N,Tracylglycerol(18:0/16:1/16:1),9544010
UFHNZOACKFBCOM-YXKNDSBASA-N,TG(16:1(9Z)/16:1(9Z)/18:1(9Z))[iso3],25240357
HDFLQJUGWGNORO-UHFFFAOYSA-N,"(3-Hexadecanoyloxy-2-hexadec-9-enoyloxypropyl) octadeca-9,12-dienoate",85034333
PVMBAGXWHHZKFP-JMPJWMFJSA-N,"TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3]",25240359
OZAXLAGNPZMZAD-BOEMPQCLSA-N,"1,2-diheptadecanoyl-3-(9Z-heptadecenoyl)-sn-glycerol",9544006
QLIUVBJPQMDRHV-UHFFFAOYSA-N,,
ISSGPXMQOMAFMJ-DMGKHJLRSA-N,"1,2,3-tri-(9Z-heptadecenoyl)-glycerol",9544023
SDNYRTVJOFMYIW-OIVUAWODSA-N,"1-Hexadecanoyl-2,3-dioctadecanoyl-sn-glycerol",545690
NPCZZYKITFKRQZ-RFBIWTDZSA-N,[1-hexadecanoyloxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] octadecanoate,5365005
DQXQIWIQYYEGLG-MMWLGPPDSA-N,"1-tetradecanoyl-2-(9Z,12Z-octadecadienoyl)-3-(11Z-eicosenoyl)-sn-glycerol",56938177
KGLAHZTWGPHKFF-UHFFFAOYSA-N,"9-octadecenoic acid [1-(1-oxohexadecoxy)-3-(1-oxooctadeca-9,12-dienoxy)propan-2-yl] ester",53394304
WHSWXEYWNPTUPW-HNJDVRDNSA-N,"TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso6]",25240364
CQZAAIKPSLHIBC-KDJOUNIJSA-N,"TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3]",25240366
SSOSFUDNINFYLJ-KIYGNKBKSA-N,"1-tetradecanoyl-2-(9Z,12Z-octadecadienoyl)-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",56938180
WWJIBIGWKGFVAQ-JNSYTQKUSA-N,"1-(9Z-heptadecenoyl)-2,3-dioctadecanoyl-sn-glycerol",9544081
IDUAWMUEKRFTEE-UHFFFAOYSA-N,,
NIBMDPFMDDQNNX-UHFFFAOYSA-N,,
BMSDHYZLQWTKSQ-LSJAAEOESA-N,"1-(9Z,12Z-heptadecadienoyl)-2,3-di-(9Z-octadecenoyl)-sn-glycerol",9544152
FJGQAOZVLVTFLT-HGQZSUFJSA-N,"[1-[(Z)-heptadec-7-enoyl]oxy-3-[(11Z,13Z,15Z)-octadeca-11,13,15-trienoyl]oxypropan-2-yl] (10Z,12Z)-octadeca-10,12-dienoate",138152411
JFSALBNUDIAEFO-UHFFFAOYSA-N,,
KKBWDSMULWDHME-UHFFFAOYSA-N,1-Arachidonyl-2-myristoyl-3-arachidonyl-glycerol,131756478
YFFIQXNTTVSKJC-NZEOUKRFSA-N,"1,2-dioctadecanoyl-3-(9Z-octadecenoyl)-sn-glycerol",16058371
WUUWGORPQFKFQN-XDVOZUNOSA-N,"1-tetradecanoyl-2-(9Z,12Z-octadecadienoyl)-3-docosanoyl-sn-glycerol",56938183
CNGSOZKJBWHOEG-UHFFFAOYSA-N,"octadecanoic acid [3-(1-oxooctadeca-9,12-dienoxy)-2-(1-oxooctadec-9-enoxy)propyl] ester",3531156
BRLGHZXETDWABO-NOFIOOQLSA-N,"1-octadecanoyl-2-(9Z-octadecenoyl)-3-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",9544255
OEJXMJPFOHYSIU-GRLFFVHSSA-N,"TG(18:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))[iso3]",9544294
VVEBTVMJPTZDHO-UHFFFAOYSA-N,"9-octadecenoic acid 2,3-bis(1-oxooctadeca-9,12-dienoxy)propyl ester",4123012
HBOQXIRUPVQLKX-BBWANDEASA-N,Trilinolein,5322095
OSQWVKFDDMZRTJ-UHFFFAOYSA-N,,
RBBGBIMRJNLGIC-AOEVTFCNSA-N,1-Pentadecanoyl-2-vaccenoyl-3-docosahexaenoyl-glycerol,131754375
OCYFAHIHWCVZKS-FHSLLVMSSA-N,1-octadecanoyl-2-(9Z-octadecenoyl)-3-eicosanoyl-sn-glycerol,9544345
PDEQUPGHMOMBFC-FYEHETCMSA-N,"1-octadecanoyl-2-(9Z,12Z-octadecadienoyl)-3-eicosanoyl-sn-glycerol",9544390
QXMHHXQBBKDSSL-UHFFFAOYSA-N,"2,3-Di(octadec-9-enoyloxy)propyl icos-11-enoate",85034703
RHGAXCJSYVVFNV-UHFFFAOYSA-N,,
UHEJWASONFIROS-YPSHDQQVSA-N,"1,2-di-(9Z,12Z-octadecadienoyl)-3-(11Z-eicosenoyl)-sn-glycerol",25240380
ZTNDRFCABXFVMY-WJTCTALZSA-N,"TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:2(11Z,14Z))[iso3]",9544625
BLNSKVFNUJRUQY-UHFFFAOYSA-N,,
DODZUDCYRVWEOJ-GKZBLMSTSA-N,"1,2-di-(9Z,12Z-octadecadienoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",9544695
OQPANTOJGGHRCB-OEIGHXOUSA-N,,
IWHAIDBTHLHHMB-UHFFFAOYSA-N,,
NFQQJRGJJVQGAV-MEADVOAOSA-N,"1-tetradecanoyl-2-docosanoyl-3-(13Z,16Z-docosadienoyl)-sn-glycerol",56938341
RFMSTHTUAZETPD-UHFFFAOYSA-N,(2-Icos-11-enoyloxy-3-octadec-9-enoyloxypropyl) icos-11-enoate,85034984
CCKRHDUCFMOBKX-AAINFQTBSA-N,"1-octadecanoyl-2-eicosanoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",9544835
XHVVLSLXKHPZQL-UHFFFAOYSA-N,,
FKOQTZUEHKHGIP-UHFFFAOYSA-N,,
KVOXCTRWVFVTEO-SPKJYZRXSA-N,[2-docosanoyloxy-3-[(Z)-octadec-9-enoyl]oxypropyl] tetracosanoate,132979969
WRHBANXXQKCUJB-HNENSFHCSA-N,(2-decanoyloxy-3-octanoyloxypropyl) (Z)-octadec-9-enoate,164466143
NHSWSPYXJYXVEL-UHFFFAOYSA-N,,
OJLSAGRRRSYFIU-UHFFFAOYSA-N,,
AONBTYWVDWBDFQ-UHFFFAOYSA-N,,