date,treatment-tank,integument-color
7/8/2022,1,Y
7/8/2022,1,Y
7/8/2022,1,Y
7/8/2022,1,G
7/8/2022,1,YO
7/8/2022,1,YG
7/8/2022,1,BG
7/8/2022,2,YG
7/8/2022,2,YG
7/8/2022,2,BG
7/8/2022,2,BG
7/8/2022,2,Y
7/8/2022,2,Y
7/8/2022,2,Y
7/8/2022,3,YO
7/8/2022,3,Y
7/8/2022,3,Y
7/8/2022,3,YO
7/8/2022,3,YG
7/8/2022,3,YG
7/8/2022,3,G
7/8/2022,4,G
7/8/2022,4,Y
7/8/2022,4,YG
7/8/2022,4,YG
7/8/2022,4,Y
7/8/2022,4,Y
7/8/2022,4,YO
7/8/2022,5,YG
7/8/2022,5,BG
7/8/2022,5,YG
7/8/2022,5,YG
7/8/2022,5,G
7/8/2022,5,YG
7/8/2022,5,BG
7/8/2022,6,Y
7/8/2022,6,Y
7/8/2022,6,Y
7/8/2022,6,YO
7/8/2022,6,Y
7/8/2022,6,YG
7/8/2022,6,Y
7/12/2022,1,Y
7/12/2022,1,YG
7/12/2022,1,BG
7/12/2022,1,BG
7/12/2022,1,YG
7/12/2022,1,G
7/12/2022,1,YG
7/12/2022,2,YG
7/12/2022,2,YG
7/12/2022,2,G
7/12/2022,2,YG
7/12/2022,2,Y
7/12/2022,2,Y
7/12/2022,2,YG
7/12/2022,3,Y
7/12/2022,3,YO
7/12/2022,3,YG
7/12/2022,3,YG
7/12/2022,3,YO
7/12/2022,3,YG
7/12/2022,3,O
7/12/2022,4,Y
7/12/2022,4,Y
7/12/2022,4,O
7/12/2022,4,YG
7/12/2022,4,YG
7/12/2022,4,YG
7/12/2022,4,O
7/12/2022,5,YG
7/12/2022,5,Y
7/12/2022,5,YG
7/12/2022,5,YG
7/12/2022,5,Y
7/12/2022,5,Y
7/12/2022,5,Y
7/12/2022,6,Y
7/12/2022,6,Y
7/12/2022,6,Y
7/12/2022,6,YG
7/12/2022,6,O
7/12/2022,6,YG
7/12/2022,6,O
7/15/2022,1,YG
7/15/2022,1,Y
7/15/2022,1,YO
7/15/2022,1,O
7/15/2022,1,YG
7/15/2022,1,O
7/15/2022,1,BG
7/15/2022,2,BG
7/15/2022,2,YG
7/15/2022,2,YO
7/15/2022,2,YG
7/15/2022,2,YO
7/15/2022,2,Y
7/15/2022,2,G
7/15/2022,3,Y
7/15/2022,3,Y
7/15/2022,3,O
7/15/2022,3,O
7/15/2022,3,YO
7/15/2022,3,O
7/15/2022,3,O
7/15/2022,4,Y
7/15/2022,4,O
7/15/2022,4,YG
7/15/2022,4,Y
7/15/2022,4,YG
7/15/2022,4,Y
7/15/2022,4,YO
7/15/2022,5,YG
7/15/2022,5,YG
7/15/2022,5,G
7/15/2022,5,BG
7/15/2022,5,Y
7/15/2022,5,Y
7/15/2022,5,YO
7/15/2022,6,YG
7/15/2022,6,O
7/15/2022,6,Y
7/15/2022,6,YG
7/15/2022,6,Y
7/15/2022,6,YG
7/15/2022,6,Y
7/19/2022,1,O
7/19/2022,1,Y
7/19/2022,1,BG
7/19/2022,1,Y
7/19/2022,1,YG
7/19/2022,1,YG
7/19/2022,1,YG
7/19/2022,2,Y
7/19/2022,2,BG
7/19/2022,2,Y
7/19/2022,2,YO
7/19/2022,2,YG
7/19/2022,2,Y
7/19/2022,2,BG
7/19/2022,3,Y
7/19/2022,3,Y
7/19/2022,3,O
7/19/2022,3,O
7/19/2022,3,YO
7/19/2022,3,O
7/19/2022,3,YG
7/19/2022,4,O
7/19/2022,4,Y
7/19/2022,4,Y
7/19/2022,4,Y
7/19/2022,4,Y
7/19/2022,4,O
7/19/2022,4,YO
7/19/2022,5,YG
7/19/2022,5,YG
7/19/2022,5,YG
7/19/2022,5,YG
7/19/2022,5,YG
7/19/2022,5,G
7/19/2022,5,YO
7/19/2022,6,Y
7/19/2022,6,YG
7/19/2022,6,YG
7/19/2022,6,Y
7/19/2022,6,YG
7/19/2022,6,YG
7/19/2022,6,O
7/22/2022,1,G
7/22/2022,1,G
7/22/2022,1,YG
7/22/2022,1,Y
7/22/2022,1,YO
7/22/2022,1,BG
7/22/2022,1,Y
7/22/2022,2,Y
7/22/2022,2,YG
7/22/2022,2,Y
7/22/2022,2,Y
7/22/2022,2,BG
7/22/2022,2,YO
7/22/2022,2,YG
7/22/2022,3,Y
7/22/2022,3,O
7/22/2022,3,YG
7/22/2022,3,O
7/22/2022,3,YO
7/22/2022,3,O
7/22/2022,4,O
7/22/2022,4,Y
7/22/2022,4,Y
7/22/2022,4,YG
7/22/2022,4,O
7/22/2022,4,YO
7/22/2022,4,O
7/22/2022,5,BG
7/22/2022,5,YG
7/22/2022,5,YG
7/22/2022,5,YG
7/22/2022,5,Y
7/22/2022,5,Y
7/22/2022,5,O
7/22/2022,6,YG
7/22/2022,6,O
7/22/2022,6,YG
7/22/2022,6,G
7/22/2022,6,Y
7/22/2022,6,Y
7/22/2022,6,O
7/26/2022,1,O
7/26/2022,1,Y
7/26/2022,1,Y
7/26/2022,1,Y
7/26/2022,1,O
7/26/2022,1,Y
7/26/2022,1,YO
7/26/2022,1,Y
7/26/2022,1,YG
7/26/2022,1,YG
7/26/2022,1,YG
7/26/2022,2,Y
7/26/2022,2,Y
7/26/2022,2,Y
7/26/2022,2,Y
7/26/2022,2,O
7/26/2022,2,G
7/26/2022,2,G
7/26/2022,2,YO
7/26/2022,2,BG
7/26/2022,2,YO
7/26/2022,3,YO
7/26/2022,3,YO
7/26/2022,3,O
7/26/2022,3,RO
7/26/2022,3,O
7/26/2022,4,Y
7/26/2022,4,O
7/26/2022,4,YO
7/26/2022,4,Y
7/26/2022,4,YO
7/26/2022,4,Y
7/26/2022,4,YO
7/26/2022,4,O
7/26/2022,4,Y
7/26/2022,4,O
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,O
7/26/2022,5,Y
7/26/2022,5,G
7/26/2022,6,YO
7/26/2022,6,Y
7/26/2022,6,YO
7/26/2022,6,RO
7/26/2022,6,RO
